segment_id,segment_class,hamnosys_1_initial_configuration,hamnosys_2_basic_handshape,hamnosys_3_handshape_modifications,fsw,signwriting_1,signwriting_2
seg00186,handshape,,,,S12f,,
seg00187,handshape,,,,S130,,
seg00188,handshape,,,,S131,,
seg00189,handshape,,,,S133,,
seg00190,handshape,,,,S134,,
seg00191,handshape,,,,S135,,
seg00192,handshape,,,,S136,,
seg00193,handshape,,,,S137,,
seg00194,handshape,,,,S138,,
seg00195,handshape,,,,S139,,
seg00196,handshape,,,,S13a,,
seg00197,handshape,,,,S13b,,
seg00198,handshape,,,,S13c,,
seg00199,handshape,,,,S141,,
seg00200,handshape,,,,S143,,
seg00201,handshape,,,,S148,,
seg00202,handshape,,,,S14f,,
seg00203,handshape,,,,S151,,
seg00204,handshape,,,,S152,,
seg00205,handshape,,,,S156,,
seg00206,handshape,,,,S15b,,
seg00207,handshape,,,,S15c,,
seg00208,handshape,,,,S15e,,
seg00209,handshape,,,,S15f,,
seg00210,handshape,,,,S161,,
seg00211,handshape,,,,S162,,
seg00212,handshape,,,,S163,,
seg00213,handshape,,,,S164,,
seg00214,handshape,,,,S165,,
seg00215,handshape,,,,S166,,
seg00216,handshape,,,,S167,,
seg00217,handshape,,,,S169,,
seg00218,handshape,,,,S16a,,
seg00219,handshape,,,,S16b,,
seg00220,handshape,,,,S16c,,
seg00221,handshape,,,,S172,,
seg00222,handshape,,,,S174,,
seg00223,handshape,,,,S175,,
seg00224,handshape,,,,S178,,
seg00225,handshape,,,,S179,,
seg00226,handshape,,,,S17a,,
seg00227,handshape,,,,S17b,,
seg00228,handshape,,,,S17f,,
seg00229,handshape,,,,S181,,
seg00230,handshape,,,,S183,,
seg00231,handshape,,,,S184,,
seg00232,handshape,,,,S186,,
seg00233,handshape,,,,S188,,
seg00234,handshape,,,,S189,,
seg00235,handshape,,,,S18a,,
seg00236,handshape,,,,S191,,
seg00237,handshape,,,,S194,,
seg00238,handshape,,,,S195,,
seg00239,handshape,,,,S197,,
seg00240,handshape,,,,S19b,,
seg00241,handshape,,,,S19d,,
seg00242,handshape,,,,S19e,,
seg00243,handshape,,,,S1a1,,
seg00244,handshape,,,,S1a2,,
seg00245,handshape,,,,S1a6,,
seg00246,handshape,,,,S1a8,,
seg00247,handshape,,,,S1a9,,
seg00248,handshape,,,,S1aa,,
seg00249,handshape,,,,S1ac,,
seg00250,handshape,,,,S1af,,
seg00251,handshape,,,,S1b1,,
seg00252,handshape,,,,S1b6,,
seg00253,handshape,,,,S1b7,,
seg00254,handshape,,,,S1b8,,
seg00255,handshape,,,,S1b9,,
seg00256,handshape,,,,S1bc,,
seg00257,handshape,,,,S1bd,,
seg00258,handshape,,,,S1be,,
seg00259,handshape,,,,S1bf,,
seg00260,handshape,,,,S1c0,,
seg00261,handshape,,,,S1c2,,
seg00262,handshape,,,,S1c7,,
seg00263,handshape,,,,S1c8,,
seg00264,handshape,,,,S1c9,,
seg00265,handshape,,,,S1ca,,
