dic_gloss,synonyms,sid,FSW
andres,"Andres, Andrés, andrés, Andrés Salas, andres salas, salas, Salas",980,M544x525S30006482x483S1f520520x492S20500510x514S20500522x514
Andrés,,203,AS1f711S30004S20e00S26a06M525x541S30004482x482S1f711469x517S20e00494x521S26a06511x514
Andrés,,979,M551x526S30006482x483S1f52c527x492S20500531x515S20500516x515
Android,android,866,AS10010S20500S10018S20500S2ff00M533x518S2ff00482x483S10010518x464S10018464x465S20500522x498S20500468x498
antena parabólica,antena satelital,1020,AS1531fS2e112S10b10S20500M522x536S1531f483x465S10b10503x488S20500512x479S2e112479x491
antena parabólica,antena satelital,1021,AS1531fS37800S10b10S20500M520x526S1531f481x474S10b10501x497S20500510x488S37800493x494
antena parabólica,antena satelital,590,AS1a020S22f03S1531fS34d00S33630M551x554S1531f501x531S1a020531x495S33630476x498S34d00484x481S22f03516x520
antropología,,447,AS12313S22f04S19a18M517x530S19a18484x510S12313493x485S22f04492x470
aparato,,894,AS2031aS37706S15310S2da06S2f700S32a20M552x563S2031a499x531S37706475x531S32a20482x483S15310518x538S2da06536x521S2f700519x524
aplicar,,609,AS10049S1c511S21100S26c03M530x528S10049470x498S1c511484x472S21100500x513S26c03510x497
aproximado (símbolo matemático),≈ (símbolo matemático),691,AS1eb14S26516S1eb1cS26502S1ea40S2f900M547x528S1eb14475x473S1eb1c503x473S26502532x473S26516454x474S1ea40506x507S2f900516x500
Aratoca (Santander),aratoca (Santander),1103,M528x514S11851497x486S15a1a487x502S20600472x486
árbol,,259,AS14c10S37800S21b00S16d06S21300S25100M524x537S14c10477x474S16d06479x518S37800488x505S21b00485x462S25100504x483S21300503x519
área,grupo,493,AS16d41S20a00S20344M519x521S20344481x495S16d41491x479S20a00501x506
área (matemáticas),,989,M524x532S15a18477x477S2f900478x468S15d51498x490S2ea06499x517
arepa,,306,M534x521S15a49482x491S17811482x480S20800466x490S20800508x484S20800498x511S2c301508x494
Aristóteles,,829,AS1f400S22214S26500S2ff00M548x518S2ff00482x483S1f400519x494S22214519x485S26500523x464
armado,,1051,AS37609S1e201S20500S3760aS20309S36d00S35000M521x572S37609466x526S35000482x483S20309453x526S3760a498x526S36d00479x524S20500498x561S1e201490x530
aromática,té,307,M522x525S16d48478x505S1d451492x494S23604483x475
arqueólogo,,1066,AS18050S22230S15634S21400S26526S34500M518x562S15634461x540S18050470x535S21400481x553S22230469x526S26526503x536S34500482x483
arreglar,"reconstruir, reedificar, recomponer",75,AS15d51S15d39S21100S27107M532x523S27107505x476S15d39468x493S15d51479x500S21100498x496
arroz,,308,M544x522S14c41501x479S14c49474x483S20700495x507S26a02530x487S26a16457x490
Artajerjes Longimano,Longimano,204,AS17f50S25900S2fc04S17f58S25504M525x536S17f50506x463S17f58476x478S25504478x511S25900510x498S2fc04496x525
arveja,"alverja, mazorca, desgranar",267,AS1e242S21900S10048S20700S26500M524x523S1e242476x490S26500508x478S21900487x481S20700506x497S10048482x493
Asá,,205,AS14b10S2ff00S20600M542x519S2ff00482x482S14b10492x501S20600520x508
asamblea,,458,AS14e50S21700S26504S14e58S21700S26514M534x531S14e50508x500S14e58466x500S21700477x490S21700517x490S26504513x471S26514474x470
ascensor,elevador,641,AS10e04S15a16S20500S22b20M522x531S15a16479x519S10e04485x487S20500509x507S22b20506x470
Aser,,206,AS14c02S20500S22a00S19a02S30004S20500M522x575S14c02465x545S19a02490x518S30004482x482S20500512x515S22a00497x544S20500482x564
asincrónico (1),no sincronizado (1),662,M521x584S14e02476x520S14e0a444x526S36902480x481S20e00482x552S2f900447x515S22a04481x569
asincrónico (2),no sincronizado (2),661,AS14e0aS20e00S22a14S14e02S2f900S36902M553x585S14e02522x531S14e0a491x523S36902480x481S20e00510x554S2f900540x521S22a14509x570
asíntota (matemáticas),,727,AS1f750S22a04S22a04S22a04S20500S15a19M523x540S15a19477x475S1f750503x472S20500495x460S22a04508x491S22a04508x508S22a04508x525
asintota horizontal,,1223,AS10040S26902S15a1aS2f900M519x529S15a1a486x483S10040504x499S26902481x513S2f900492x472
asíntota horizontal (matemáticas),,728,AS1f126S26502S26502S26502S2f900S15a1aM536x520S15a1a481x489S2f900487x481S1f126521x490S26502501x506S26502483x506S26502465x506
asintota oblicua,,1258,M531x522S1d418469x485S10050516x492S22b05487x478S2f900473x517
asíntota oblicua (matemáticas),,729,AS1f120S22a03S22a03S22a03S2f900S1d218M535x530S1d218466x482S2f900475x470S1f120506x473S22a03484x501S22a03500x486S22a03470x516
asintota vertical,,1222,AS10011S22e04S15a19S2f900M525x526S15a19475x474S2f900477x500S10011504x475S22e04506x508
Aspenaz,,207,AS1521fS30004S20e00S22f04S1851eM518x584S30004482x482S1521f475x515S1851e487x559S22f04482x542S20e00505x519
Asuero,,200,AS14400S30000S21100S2d609M538x517S30000482x482S14400486x448S2d609511x481S21100513x464
asustarse,"espantarse, aterrotizarse, aterrarse, estremecerse, atemorizarse",230,AS14e02S20500S26a02S14e0aS20500S26a16S36e00S30a00S34800M548x570S14e02500x531S14e0a467x531S26a02534x532S26a16451x531S36e00477x517S34800482x482S30a00482x482S20500480x559S20500508x559
atalaya,"torre del vigía, garita, torre de observación",278,M517x544S1f720489x456S1d210483x476S19a00489x505S22a04497x529
audiencia,,461,AS10040S22f04S1442aS2f900M525x532S1442a476x476S10040504x482S22f04500x518S2f900479x469
