dic_gloss,synonyms,sid,FSW
EDUCAÇÃO,,449,M532x526S18520506x496S18528471x496S26a00505x474S26a10469x474S2fb04494x520
ELE,,342,M520x525S10041499x495S26501480x475
ELE,,457,M522x522S10047478x501S26507509x478
ele,"ela, lá, Lá",273,M560x564S30a00482x483S10c27520x532S26607538x542
Ervilhas,,128,M525x522S10049476x486S1bb41497x495S21e01513x487S20e00503x479
ESCOLA,,354,M515x522S15a30486x495S15a30503x495S20600488x478
escola,,110,M524x516S15a39476x484S15a41486x493S20600502x488
Escudo,,129,M513x521S11520496x491S22114487x480
escura,escuro,94,M545x540S20300500x525S20302482x525S14c00522x464S14c08455x464S22b03506x497S22b15469x496S2fb00492x460
especial,Especial,272,M554x530S31500482x483S10000497x500S29809522x485
espetaculo,,502,M541x585S31410482x483S10001505x502S10009464x528S23f09520x536S23f11459x562S20500522x497
essa-mão-direita,,385,M530x531S14e30504x500S1000b471x476S22a05493x469
esse-mão-esquerda,,382,M530x534S14e38470x503S10003500x481S22a03501x467
Estrela,,127,M534x542S1eb10504x471S1eb18469x481S23100508x495S23110467x507S2fc04494x531S21b00502x458S21b00485x469
ESTUDAR,,470,M520x534S15d30501x480S15d38480x480S20500496x466S2e325490x511
Estudar,estudar,250,M521x521S15d38479x480S15d30502x480S20600488x510
EU,,446,M512x523S10b43491x478S20500489x512
eu,,65,M520x519S20500481x508S10043490x482
exemplo,"Exemplo, EXEMPLO",397,M518x559S15a00482x441S10021488x459S10001490x529S15a20484x511S26520503x512
expressao facial,,138,M555x556S2ff00482x483S1ea10520x485S1ea18462x515S23604516x509S23610448x539
expressão-facial,expressão-facial,409,M549x555S32a00482x483S1ea07526x487S1ea0f457x501S23004524x520S23014456x537S2fc04496x526
F,f,40,M508x514S1d810491x485
faca,,507,M522x542S10019482x482S10011501x489S26c01478x522S20e00497x459
facial-corporal,,398,M541x584S2ff00482x483S1f802502x480S1f80a488x503S22b04518x497S22b14474x527S14c02510x537S14c0a476x561
falar,"FALAR, Falar, dizer, DIZER, Dizer",390,M539x544S33b00482x483S10001499x514S26900523x515
falar,"FALAR, opinar, OPINAR",419,M524x543S26500510x521S33b00482x483S1ce02476x521
falta,,133,M545x550S35300482x483S15d30525x524S22114519x516
fato,"FATO, Fato, correto, CORRETO, Correto",378,M534x525S1ce01507x477S1ce09467x475S22a04521x510S22a14469x510S2f700495x510
fazer a cama,,76,M545x596S15d17509x508S3090a482x478S15d5a499x550S15d50487x559S20e00513x576S26a06531x569
Feira,,360,M520x525S10027480x495S10011499x495S20500496x476S20600496x476
feliz,,139,M536x561S33e00482x483S19a00508x519S27102491x521
ferias,,121,M566x522S36d00479x479S14c02502x488S14c0a466x488S20e00536x493S20e00450x493S2c601547x488S2c610432x487S2fb04491x516
férias,"Férias, Ferias, ferias, recesso",234,M555x572S33e00482x483S36d00479x524S14c02505x536S14c0a471x536S2c601536x537S2c610451x538S20e00522x558S20e00476x560
ficar,,243,M531x524S15d51508x477S15d59470x477S22a04511x508S22a14474x509
financas,,185,M550x524S11512509x476S1151a463x488S23610451x507S23604511x494
forte,,437,M553x567S20301472x521S30c00482x483S20301516x516S37801530x529S37809468x535S2f900542x521S2f900458x528
futebol,,152,M549x534S14c1a452x466S14c12518x466S22512503x466S22516485x466S27102525x494S27112463x494
futsal,,150,M521x515S1f748479x500S1f740501x500S20600489x486
G,g,44,M507x507S20310492x492
garfo,,506,M523x538S18621494x490S14c09477x470S20602513x463S26c00490x523
GARGANTA,"Garganta, garganta",493,M537x561S36a00482x477S21100493x518S22f04512x520S1ed06491x535
gato,,68,M546x519S15052475x480S1505a454x493S21100512x485S26506531x486
GAVETA,"Gaveta, gaveta",441,M520x520S20331489x489S15a57480x481S26505507x507S20e00505x482
