dic_gloss,synonyms,sid,FSW
adresa,"překlad, přeložit",360,M523x541S15a37488x460S11551496x470S20500480x461S20500479x501S15a37477x510S11531487x514
adresa,přeložit,52,M529x523S15a37478x488S11551486x498S20500470x489S20500482x478S2a208506x482
adresace sítě (IMoTeSP),,873,M555x622S20350502x416S20358480x416S22f03491x582S2fb04492x433S14c50531x378S14c58444x378S15d39482x461S15d37471x599S15d39490x509S11551488x469S20500471x460S20500483x498S10003506x564S26507517x400S26511470x397S11531501x514
adresář (IMoTeSP),,874,M520x540S15d38488x498S11950498x514S21100493x480S27100480x461
Afganistán (UPOL),,2805,M526x518S2ff00482x483S17e10503x473S2ea02485x457
afinita (IMoTeSP),,969,M554x550S10020503x451S10028446x450S22b05518x482S2fb04521x544S22b15473x491S10020539x511S10028502x512
Afrika,,5806,M562x518S34c00482x483S15d01507x494S23609527x473S2f700550x506
Afrika A (UPOL),,2806,M551x525S2ff00482x483S15d01499x502S2e500528x498
Afrika B (UPOL),,2807,M527x551S16c26506x487S18520473x449S18527487x524S2880d502x513S2880b502x463
Afrika C (UPOL),,2887,M553x526S2ff00482x483S15d01502x493S23603524x483S2f700530x519
agregace (IMoTeSP),,811,M557x571S15d48467x429S11502490x441S20e00494x461S26c00487x475S16002530x538S1600a442x559S20300489x554S20300492x538S22a02511x538S22a26472x557
agresivní (UPOL),,3566,M541x541S33b00482x483S32a00482x483S10a11509x486S10a19458x515S2df0d520x466S2df15452x499
ahoj,,346,M539x518S26500515x459S33e00482x483S15a11516x482
ahoj,,481,M549x518S25607525x451S33e00482x483S15a21513x473
ahoj (UPOL),,3567,M546x518S30007482x483S26507533x471S15d21516x480
AIDS A (UPOL),,2342,M529x523S1f520505x477S22b03481x489S2f900472x518
AIDS B (UPOL),,2344,M555x518S2ff00482x483S14c20504x454S2b700536x465S21400508x446S15850534x430
akcent,,1440,M519x524S1f540489x496S1f548481x500S20500509x510S26520487x476
akcie,,1203,M541x529S1ea10503x494S1ea18473x494S27200501x472S27214459x472S2fb04493x523
akcie2,,1319,M540x608S1ed20505x455S1ed28460x454S23c04517x392S23c1c459x393S22b06505x427S22b12464x427S2fb00489x484S18509470x589S18501497x582S26601469x541S26600493x528S26607515x538
akorát,"zrovna, v tu chvíli, přesně",1338,M528x539S1ce40506x462S1ce48471x461S22b24491x509
akorát A (UPOL),,3568,M534x532S1ce10512x502S1ce18466x501S26500514x480S26510473x480S2f900516x469S2f900475x469
akorát C (UPOL),,3569,M535x538S36500482x483S10010488x508S21100507x518S22a04522x520S31600482x483
