dic_gloss,synonyms,sid,FSW
Amt,,15283,M548x582S35d00512x482S34c00452x482S33b00482x482S15d39482x553S20340494x547S20b00502x569
anfeinden,,718,
angebärden,angebärdet,23060,M581x605S14c40536x527S14c48515x541S2ea00542x571S2ea4c523x580S35d04488x483S34700517x483S35000545x482S26500469x526S35d00449x483S15d20461x546S34c00420x483
angeben,prahlen,15715,M553x581S35600482x482S30a30489x489S14c48481x536S1f550502x554S20e00498x569S2a308530x538
angebrannt,,15716,M590x590S20e00472x573S35d04469x482S34700499x483S35000526x483S14c09466x534S14c21477x544S14c11506x539S2df04504x569S2df10446x521S14c19435x542S34c00409x482S35d00439x482S35d04554x483
Angesicht,,5586,M620x519S34c00381x482S35d00411x482S15d00446x465S26504429x455S35d04495x482S10b00489x455S2e400466x484S2ff00463x484S36100554x481S34700525x482S34800584x482
angewachsen,,14227,M604x557S34c00543x483S36d00526x522S36500513x482S18210581x522S22b00585x487S34c00422x482S35d00452x483S15a20491x530S26500490x507
angezogen,,14733,M621x594S35d00405x482S36100482x482S35d04430x482S35d04534x482S34c00379x482S34700456x483S34400508x482S34700559x482S35d00585x482S36d00480x520S20301520x527S20305463x526S20300492x562S20300491x579S28903492x533S2891b470x551S21100508x545S21100465x561
Anglisten,,12072,M587x579S34c00419x483S1dc02426x508S20600456x505S35c00486x483S34800516x482S36100545x483S1ed26538x532S23404538x565S26606557x553
Angola,,1315,M542x572S30006482x482S34c00482x482S15310520x495S20600520x479S37a06484x570
Anhang,,19665,M577x592S34c00423x483S35d00453x483S34c00483x483S35d00512x483S35d04541x482S15d30472x540S15d50499x540S2a20c488x564S15d58467x534
Anhänglichkeit,anhänglich,2489,M592x593S1f540490x569S1f548474x569S26620481x531S34c00408x483S35d00437x483S34a00468x483S35d00497x482S35d04527x483S35c00556x482
Ankathete,,10351,M613x594S35d00416x482S35d04461x482S35d00519x482S35d00577x482S34c00387x482S34c00490x482S34700548x482S1e411415x547S1e419390x546S20500408x578S20500409x531S1e419485x554S18021494x537S22a07525x534S2f900481x589
anliefern,Anlieferung,2746,M576x600S34c00424x483S35d00452x483S34800511x483S36500540x483S35c00482x483S11531507x530S11539466x531S11532507x585S1153a461x583S26f00502x563S26f10448x562
anmachen,,17484,M606x593S34c00395x483S35d00424x483S33b00451x483S34c00480x483S35800510x483S34700541x483S35d00570x483S1f540541x569S26500541x547S2f900543x533
Anna,,15385,M533x575S33e00482x482S31400482x482S15310518x495S30006482x482S20602511x514S37806465x573S2fb07510x482S2fb01480x483S2fb01485x479S2fb02478x490S2fb01479x480S2fb00494x477S2fb02478x498S2fb02475x489S2fb07506x482S2fb07503x476S2fb01490x475S2fc06516x489S37806501x573
anregend,,14745,M599x581S35d04508x482S35d04454x482S34c00400x482S34700480x482S34700535x482S35d00427x482S35d00563x483S14c31501x553S14c39460x554S2e516463x526S2e50e499x524
Anstecken,,8701,M591x588S34c00408x482S34500466x482S34700526x483S35d00437x482S35d00496x482S35d04555x483S1ce50502x558S1ce58468x557S2bb01523x528S2bb10431x529
Antananarivo,,183,M578x620S34c00482x483S35d00451x483S2ea00489x569S2ea4c467x577S34c00423x483S37a06442x618S15a40486x535S15a48468x545S37a06486x618S35d00512x483S34c00542x483
Antisemitismus,,12760,M626x579S34c00380x482S34800438x482S35d00410x482S1c520463x534S26500476x516S2f920477x499S34700525x482S33b00553x482S34800583x482S36100496x482S17e37512x519S20e00498x517S22113525x517S20348579x562S14c51578x535S21100602x565S2df08605x537
Antwort,antworten,8095,M566x544S34c00482x482S20500484x517S11540551x477S26607526x510S11501496x517
antworten,,1508,M538x545S30004482x482S11501499x518S26600522x497S20500488x518
Anweisung,,12203,M621x596S34c00378x482S34c00464x483S34800495x483S34600556x482S36500435x482S36100526x482S35d00406x482S35d00585x482S10001466x566S15a20456x550S20500470x560S26520461x530
anziehen,,4947,M560x595S34c00439x483S35d00469x483S36100497x482S34800524x482S14c01501x532S14c09465x530S20e00472x556S20e00506x556S20301503x574S20301459x572S2ea04528x556S2ea14447x553
April,,16676,M608x605S34c00422x482S35000451x483S34800512x483S35d04481x483S35c00542x483S14420586x497S22b04587x535S14450585x574
Arbeitsplatz,,16083,M620x591S34c00379x482S35d04406x482S35000436x482S26612489x545S26606568x545S2f900414x579S20300412x562S20302422x545S36100584x482S15d50546x537S35c00503x482S35000475x482S34c00530x482S35d00557x482S15d58524x537S2ea00429x566S20f00392x543
archäologisch,,10848,M590x578S34c00409x483S35800466x482S15050511x541S34400524x482S35d04437x483S35c00554x482S34a00495x482S26a06546x551
Arglist,,5593,M636x603S34c00411x482S35d04439x482S35c00467x483S34800496x482S36100526x481S35d00553x482S10050596x505S10030590x573S28c0c615x544S26500587x558
Armenien,,17826,M592x619S34c00409x483S33b00468x483S34700497x483S13f12500x543S34800556x483S35d04439x483S35d00527x483S1f50a496x578S37806464x594S22910475x549S21100482x561S37806417x617S37806465x616S37806509x616S37806556x616
arrogant,,6586,M587x531S34c00440x482S35d04469x482S34400497x482S33200524x482S10a10550x505S20e00564x487S2ea00572x499
Art,,17701,M546x600S15d40508x538S22a14468x575S35d00510x483S35d04483x483S2f900469x595S15d48461x538S2f900508x593S22a04508x575S34c00455x483
Artikulation_vor_Spiegel12,"AvS_E, AvS_e",23138,M558x547S37a05431x427S36a10481x534S36a10492x487S33000478x453S33000510x484S36b00443x466S36b00473x500S36a10451x500S36a10523x518S37b05507x520S37a10430x458S37a10430x428S37705510x447S37a05430x504S37a05475x438S37810529x453S31430492x466S31e30450x476S34710496x476S2fb02541x496S37800496x502S37800500x505S37900489x503S37900492x503S37800479x507S37800482x500S37800486x503S2fb00504x453S2fb00534x481S2fb00485x457S2fb00489x456S2fb00491x454S2fb02520x492S2fb02523x487S2fb02525x494S2fb02528x487S2fb02531x495S2fb02533x488S2fb02536x494S2fb02539x487S34710453x489
