dic_gloss,synonyms,sid,FSW
anschauen,S4-08280,1168,M591x535S31400482x482S26500518x476S10e00518x492S10e50563x480S23504554x517
anschauen-8280,,1445,M593x536S31400482x482S10e00492x506S10e50527x479S24a0a546x469
Ansicht,S4-07561,259,M565x518S10e53540x446S10e5b439x444S25503520x470S2ff00482x483S25515465x468S2fd00487x450
anstecken-2670,,2231,M525x519S36d00479x482S1f010445x504S1f020496x504S20500481x505
anstecken-3063,,338,M510x530S1ed36491x470S26604490x500
anstecken-3068,,2700,M512x520S18520487x505S2b700488x479
anstecken-5667,,2139,M514x527S10020499x497S2b700485x473
ansteigen-6631,,2755,M529x532S14c50505x501S14c58471x501S22b00509x467S22b10476x468
Anstellen,,1254,M537x535S1f540522x466S2fc00494x524S23107504x488S23111476x501S1f548462x476
anstndig-8132,,2877,M531x552S1ce20508x450S1ce28468x449S1ce58469x508S1ce50509x508S22a14477x485S22a04509x485S2f900479x546S2f900511x547
anstrengen,,3769,M520x519S20352490x504S27100480x481
anstrengend-1949,,411,M549x544S30004482x482S1e102485x520S20500470x512S2c300523x507
anstrengend-4475,,557,M530x526S20330509x474S20330475x474S2e50d507x499S2e515470x498
anstrengend-4534,,2970,M522x517S20352482x502S37706497x510S26a00477x482
Antenne,,4348,M526x547S10018489x517S11e5f483x483S20500474x509S2a50f498x453
Antrag,S4-07475,3167,M527x526S1ea18473x505S1ea10504x505S2b721496x473
Antwort-759,,3715,M549x530S30004482x482S11502519x507S20500508x519S28108528x471
Antwort-an-jemand,,4169,M556x530S30004482x482S11502519x507S20500508x519S28109534x479
Anwalt,S4-00413-K,1051,M546x524S36d00479x477S1ec07522x478S1ec0f455x478S20500472x500S20500515x499S22a13460x510S22a05528x508S2fb00492x511
Anwalt,S4-08156,3478,M513x522S20310493x477S23004488x504
Anwalt,S4-00413-V,4228,M542x526S36d00479x477S1e102504x486S1e10a473x486S20500528x476S20500463x475S22a05529x512S22a13459x511
Anwalt-413,,1871,M546x524S36d00479x477S1ec17522x478S1ec1f455x478S20500472x500S20500515x499S22a13461x510S22a05525x510
anwischen,,1757,M534x514S1f720467x486S2460a495x490
anziehen-8935,,232,M530x535S36d00479x465S1ea01502x477S1ea09471x476S20e00476x506S20e00511x506S22f14469x521S22f04505x521
anziehen-949,,4089,M531x537S36d00479x463S14c01505x472S14c09471x471S22f14474x523S22f04505x523S20e00478x507S20e00512x508
anznden,S3-05208_K,4194,M527x528S1ea41499x509S1ea49473x497S20e00501x493S26900498x472
anznden-1,,2111,M527x529S1ea01499x508S1ea09473x496S20e00501x492S26900498x471
Anzug,S3-08283-K,3092,M528x533S14c01502x468S22a14472x518S14c09472x468S21100471x499S21100514x499S22a04515x518
Apfel-565,,3925,M561x538S30004482x482S2c400521x501S16d0e490x521
Apotheke,S3-06705-K3,214,M528x526S1ec26502x473S1ec20471x497S23304498x500
Apotheke,S3-05973-K,1015,M508x528S10010492x471S26900492x510
Apotheke,S3-08227-K,1339,M529x527S15a37484x504S1f540474x482S2c500489x472S20500471x508
Apotheke,S3-06705,1715,M536x530S1ec26511x469S1ec20463x501S23304506x504
Apotheke,S3-08227-K2,4422,M530x523S15a36479x511S1f742484x485S20500469x498S2a308507x478
Appenzell-4091,,3852,M546x529S15020512x472S15028459x471S23600507x512S23614453x510
