dic_gloss,synonyms,sid,FSW
(신현지)문장1,4,49626,M551x526S14e51523x497S14e59449x497S26501503x476S26517483x475S22511513x489S22517467x488
(신현지)문장2,1,49628,M520x531S15d48481x504S15d40501x504S21100494x512S22b00499x470
(신현지)문장2,2,49631,M529x584S1511c469x526S15114485x543S26605504x562S21414514x547S30f00482x483
(신현지)문장2,3,49635,M528x535S2ff00482x483S20e00506x498S11510508x505S26500514x483S30f30487x490
(신현지)문장3,1,49638,M520x528S2ff00482x483S16d10471x508S28a0a484x490
(신현지)문장3,2,49640,M540x570S2ff00482x483S15d20521x522S15d28451x524S15d21477x547S15d29494x547S28a1a472x528S28a02482x528
(신현지)문장3,3,49642,M549x518S2ff00482x483S17650526x500S17658455x501S26600525x459S26610456x460S21d12541x467S21d12447x466
(신현지)문장3,4,49643,M529x581S30f00482x483S21600521x573S20351470x532S26615501x547S14c19490x521S37803484x545S21100491x553
(신현지)문장3,5,49645,M519x531S14c10496x500S14c18482x500S20e00493x517S25100497x469
(신현지)비웃다,,49566,M524x555S2ff00482x483S1bb00487x514S22f03475x534S20e00495x511S21e00510x522
(신현지)심하다,,49558,M528x535S2ff00482x483S20e00506x498S11510508x505S26500514x483
(신현지)어둡다,,49575,M540x570S2ff00482x483S15d20521x522S15d28451x524S15d21477x547S15d29494x547S28a1a472x528S28a02482x528
(신현지)역사,,49561,M534x524S19a18478x479S19a10506x477S20500500x483S25113467x499
(신현지)전시,,49582,M556x520S15d00501x493S15d08478x493S22b06521x497S22b12445x498S26f00516x480S26f10444x480S2fb00490x481
(신현지)차밀리다,,49609,M530x529S1511c470x471S15114486x488S26605505x507S21414515x492
(신현지)케이엘큐브,,49599,M554x537S1dc28472x476S14010502x478S2e231527x510S2e237446x509S2fc00494x463
(신현지)크리스마스,,49586,M520x528S2ff00482x483S16d10471x508S28a0a484x490
(신현지)키다,,49579,M549x518S2ff00482x483S17650526x500S17658455x501S26600525x459S26610456x460S21d12541x467S21d12447x466
(신현지)화려하다,,49592,M519x531S14c10496x500S14c18482x500S20e00493x517S25100497x469
(이보라)단어01,,49595,M521x535S2ff00482x483S11510506x505S20e00506x499
(이보라)단어02,,49597,M535x531S19a10496x481S19a18466x481S25105510x505S20500489x469
(이보라)단어03,,49600,M530x538S2ff00482x483S1a501506x500S22f03481x516S21c00478x532S20e00495x510
(이보라)단어04,,49603,M521x530S15d40502x503S15d48480x503S20e00495x517S22b00500x470
(이보라)단어05,,49605,M558x518S2ff00482x483S14c51531x479S14c57448x479S22621518x466S22627462x465S26601505x449S26617479x448S2fb00496x437
(이보라)단어06,,49610,M545x518S2ff00482x483S15d20526x467S15d28457x466S28a02490x457S28a1a478x453
(이보라)단어07,,49612,M548x518S2ff00482x483S17450527x490S17458453x491S26520493x462S26520493x440S26520493x417S21c00497x433S21c00497x456S21c00497x410
(이보라)단어08,,49614,M558x528S15d00507x472S15d08472x472S22a06506x502S22a06525x502S22a06543x502S22a12478x502S22a12459x501S22a12442x501S2fb04493x522
(이보라)단어09,,49616,M527x518S16c10473x497S2890a498x483
(이보라)단어10,,49618,M517x546S20350484x477S37900491x489S14c02486x455S26604498x495S21100487x498S2f700488x528S2f900490x541S21700503x528
(이보라)단어11,,49620,M522x536S15d10503x471S15d18478x471S20500494x465S25100501x503
(이보라)단어12,,49627,M530x537S14040501x463S1de28471x465S23720482x501S2fc04495x526
(이보라)단어13,,49629,M518x574S15550496x528S22a04495x559S30e00482x483
(이보라)단어14,,49632,M525x527S20349494x485S10e00510x475S26504510x512S20500502x474S21410476x486
(이보라)단어15,,49634,M515x545S15558486x455S15550500x482S26604498x515
(이보라)문장1,"문장1, 1",49562,M594x536S20349419x481S10e00434x467S20500424x467S26604434x506S21410406x480S15d00550x466S15d08509x465S22a06543x499S22a06561x500S22a06579x499S22a12521x499S22a12505x499S22a12486x499S2fb04530x521
(이보라)문장1,"문장1, 2",49570,M611x564S30d00430x471S15450445x517S22a04442x549S30c00535x494S14c51584x493S14c57493x492S26601558x466S26617523x466S22621572x483S22627506x483S2fb00543x452S34d10551x519
(이보라)문장2,"문장2, 1",49576,M554x612S15d40407x509S15d48384x509S20e00399x519S22b00405x473S30c00448x483S15550466x549S15558452x520S26604464x582S31500517x483S11510539x503S20e00540x499S26500540x537
(이보라)문장3,"문장3, 1",49581,M542x518S16c10377x487S28a0a392x469S31510482x483S15d20523x468S15d28462x468S28802506x459S2881a475x459S2fb04494x475
(이보라)문장3,"문장3, 2",49591,M629x564S2ff00442x515S17450484x524S17458415x525S26520453x496S26520453x470S26520453x445S21c00457x487S21c00456x463S15350523x502S37900533x522S14c01535x486S21100528x533S21700540x553S26604541x523S34400522x451S21700512x510S15d10610x501S15d18589x501S20500604x493S25100607x531
(지역)공주,,50800,M525x534S14c11497x485S14c19476x482S2e301502x511S20700488x466
(최지혜)곳,,49607,M530x562S30d00482x483S34f10494x504S15050504x518S22a04497x547
(최지혜)도시는 차가 많이 막힌다.,1,49633,M545x535S15d40420x485S15d48401x485S20500416x477S22b00434x466S36d00479x481S15114501x506S1511c479x491S26505527x522S21414530x508
(최지혜)도시는 차가 많이 막힌다.,2,49636,M544x529S2ff00482x483S11510513x499S26500530x500S20e00506x501
