Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S175,1,0.16%,1,0.25%,و واو حرف الواو (sid_165),618,97.32
S17d,1,0.16%,1,0.25%,Adam Feedback 2 (sid_311),619,97.48
S1fa,1,0.16%,1,0.25%,يشرب (sid_74),620,97.64
S140,1,0.16%,1,0.25%,ظ ظاء حرف الظاء (sid_168),621,97.8
S105,1,0.16%,1,0.25%,ط حرف الطاء طاء (sid_148),622,97.95
S184,1,0.16%,1,0.25%,Val Feedback 3 (sid_299),623,98.11
S103,1,0.16%,1,0.25%,ط حرف الطاء طاء (sid_147),624,98.27
S1d4,1,0.16%,1,0.25%,صفر لا يوجد فارغ لا قيمة له لا شيء (sid_100),625,98.43
S17e,1,0.16%,1,0.25%,Val Feedback 4 (sid_300),626,98.58
S11d,1,0.16%,1,0.25%,ز زاي حرف الزاي (sid_150),627,98.74
S144,1,0.16%,1,0.25%,اربعة اربع (sid_33),628,98.9
S128,1,0.16%,1,0.25%,ذ ذال حرف الذال (sid_146),629,99.06
S1f3,1,0.16%,1,0.25%,خاء حرف الخاء خ (sid_161),630,99.21
S16f,1,0.16%,1,0.25%,"الرجيم, المطرود , المبعد (sid_15)",631,99.37
S1a5,1,0.16%,1,0.25%,"الرجيم, المطرود , المبعد (sid_15)",632,99.53
S149,1,0.16%,1,0.25%,جيم حرف الجيم ج (sid_144),633,99.69
S1bb,1,0.16%,1,0.25%,الم يتالم مؤلم (sid_350),634,99.84
S1da,1,0.16%,1,0.25%,يقلب الصفحة يبحث في كتاب (sid_66),635,100.0
