Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S172,2,0.19%,1,0.15%,ẵm (sid_416),1006,96.64
S1fa,2,0.19%,1,0.15%,người (sid_119),1008,96.83
S10b,2,0.19%,2,0.31%,"kí hiệu (t ên ) (sid_61), kí hiệu (tên) (sid_62)",1010,97.02
S155,2,0.19%,1,0.15%,giáo dục (sid_574),1012,97.21
S1c5,2,0.19%,2,0.31%,"khinh bỉ (sid_643), độc lập (sid_226)",1014,97.41
S10f,2,0.19%,1,0.15%,chở hai người (sid_457),1016,97.6
S187,2,0.19%,1,0.15%,chở ba người (sid_460),1018,97.79
S128,2,0.19%,1,0.15%,đá (sid_484),1020,97.98
S1d1,2,0.19%,2,0.31%,"chọn (sid_462), ghét (sid_557)",1022,98.17
S198,2,0.19%,2,0.31%,"chút (tí) (sid_325), dấu chữ ơ (sid_37)",1024,98.37
S1ec,1,0.1%,1,0.15%,chị (chị gái) (sid_299),1025,98.46
S11e,1,0.1%,1,0.15%,số tám (sid_49),1026,98.56
S144,1,0.1%,1,0.15%,số bốn (sid_45),1027,98.66
S186,1,0.1%,1,0.15%,số ba (sid_44),1028,98.75
S18d,1,0.1%,1,0.15%,chữ M (sid_18),1029,98.85
S1ca,1,0.1%,1,0.15%,chữ X (sid_58),1030,98.94
S17c,1,0.1%,1,0.15%,la (sid_655),1031,99.04
S175,1,0.1%,1,0.15%,ăn vú sữa (sid_413),1032,99.14
S1ee,1,0.1%,1,0.15%,hót (sid_610),1033,99.23
S112,1,0.1%,1,0.15%,đi dạo (sid_513),1034,99.33
S135,1,0.1%,1,0.15%,giàu (sid_323),1035,99.42
S1ef,1,0.1%,1,0.15%,công nhân (sid_168),1036,99.52
S158,1,0.1%,1,0.15%,đàn (sid_483),1037,99.62
S18b,1,0.1%,1,0.15%,chờ (sid_455),1038,99.71
S17d,1,0.1%,1,0.15%,chữ E (sid_11),1039,99.81
S156,1,0.1%,1,0.15%,đeo (đồng hồ đeo tay) (sid_501),1040,99.9
S1ea,1,0.1%,1,0.15%,xí nghiệp (sid_185),1041,100.0
