Handshape,Token Count,% Use,Gloss Count,% Gloss Coverage,Glosses Using this Handshape,Token Ct (cuml),Token Ct (cuml%)
S1f4,13,0.61%,7,0.62%,"Japan (sid_1104), dumpling (sid_386), mee rebus (sid_389), quick (sid_972), smooth (sid_954), straw (sid_462), surprise (sid_5)",1817,85.91
S177,13,0.61%,10,0.89%,"Africa (sid_918), Merry Christmas (sid_990), and (sid_908), boy (sid_1091), expensive (sid_1065), food (sid_986), manage budget (sid_1061), no money (sid_1062), other (sid_624), vomit (sid_635)",1830,86.52
S157,13,0.61%,10,0.89%,"Brunei (sid_256), Laos (sid_258), boy (sid_1091), fireworks (sid_490), hot (sid_586), learn (sid_302), obtain (get) (sid_498), orange (sid_17), student (sid_1040), the Philippines (sid_260)",1843,87.14
S110,12,0.57%,8,0.71%,"air ticket (sid_1123), egg (sid_554), hard (sid_810), jump (sid_113), snake (sid_318), steal (sid_980), ticket (sid_1122), transport (sid_41)",1855,87.71
S186,12,0.57%,9,0.8%,"W (w) (sid_222), Wednesday (wednesday) (sid_151), video (sid_492), wealth (sid_937), wear (sid_77), well (sid_476), wide (sid_750), wish (sid_485), wonder (sid_275)",1867,88.27
S1ef,12,0.57%,10,0.89%,"August (august) (sid_144), G (g) (sid_206), GG (gg, good game) (sid_352), crab (sid_1070), dim sum (dimsum) (sid_387), gold (sid_968), green (sid_19), grey (gray) (sid_13), grey (sid_580), word (words) (sid_297)",1879,88.84
S144,11,0.52%,10,0.89%,"come up (invent) (sid_434), four (4) (sid_186), fourteen (14) (sid_196), fourteenth (sid_180), fourth (sid_170), hair-raising (sid_630), hair-raising (sid_631), internet (sid_595), march (sid_767), speak (sid_931)",1890,89.36
S182,11,0.52%,6,0.53%,"New Zealand (sid_1110), know (sid_265), promote (sid_363), shorts (boxers) (sid_68), tiring (tired) (sid_407), woman (sid_1092)",1901,89.88
S11e,11,0.52%,10,0.89%,"Myanmar (Burma) (sid_924), hen (sid_328), holiday (sid_1117), rooster (sid_327), ship (sid_49), third (sid_169), thirteen (13) (sid_195), thirteenth (sid_179), three (3) (sid_185), video (sid_826)",1912,90.4
S118,10,0.47%,10,0.89%,"blind (sid_549), chair (sid_671), cochlear implant (sid_529), deaf-blind (deaf blind) (sid_546), deaf-blind (deaf blind) (sid_548), hired (sid_1022), pizza (sid_1073), sit (sit down) (sid_116), tour different places (sid_1126), travel (tour) (sid_1115)",1922,90.87
S1ed,10,0.47%,7,0.62%,"awake (sid_509), big (sid_522), glasses (sid_71), hankerchief (sid_76), moon (sid_616), moon (sid_617), person (sid_744)",1932,91.35
S15b,8,0.38%,5,0.45%,"boat (sid_48), empty (sid_556), monkey (sid_325), mouse (sid_306), sail (go by boat) (sid_699)",1940,91.73
S14d,8,0.38%,5,0.45%,"ambulance (sid_47), grass (sid_577), heat (sid_780), idea (sid_599), soft-spoken (sid_846)",1948,92.1
S10c,8,0.38%,5,0.45%,"here (sid_587), tell (sid_707), this (sid_760), this (sid_762), today (sid_1084)",1956,92.48
S16c,8,0.38%,5,0.45%,"bank (sid_1055), cloud (sid_530), cloud (sid_532), full (sid_687), hamburger (sid_1076)",1964,92.86
S1d4,8,0.38%,6,0.53%,"cat (sid_95), fruit (sid_565), hair (sid_725), meat (sid_1068), soul (spirit) (sid_869), volunteer (sid_1138)",1972,93.24
