HamNoSys,HamNoSys,HamNoSys,FSW_all,AmericanSL,AmericanSL,AmericanSL,ChineseSL,ChineseSL,ChineseSL,ChineseSL,Hong Kong SL,Hong Kong SL,Taiwan SL,Taiwan SL,Taiwan SL,Korean SL,Korean SL,German SL,German SL,Danish SL,Danish SL,Swedish  SL,Swedish  SL,Netherland SL,Netherland SL,British SL,British SL,Australian SL,Australian SL,Australian SL,New Zealand SL,New Zealand SL
Thumb Opposition,2finSpread_othersFist,(fingers rounded),S12a,,,,,,,,,,,,,,,,,,,,,S12a,񀿑,,,,,,,
Thumb Opposition,2finSpread_othersFist,(fingers flattened),S12b,,,,,,,,,,,,,S12b,񁀱,,,S12b,񁀱,,,S12b,񁀱,,,,,,,
Thumb Opposition,2finSpread_othersFist,(fingers straight),S127,,,,,,,,,,,,,,,,,,,,,,,,,,,,S127,񀺱
Thumb Opposition,2finSpread_othersFist,FlattenedandInFistfingerUp,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumb Opposition,4finNonspread,(fingers rounded),S16d,S16d,񂣱,c,S16d,񂣱,,cup,,,S16d,񂣱,方square,S16d,񂣱,S16d,񂣱,S16d,񂣱,S16d,񂣱,S16d,񂣱,,,S16d,񂣱,cup,S16d,񂣱
Thumb Opposition,4finNonspread,(fingers rounded),S173,,,,,,,,,,,,,,,,,,,,,,,S173,񂬱,,,,,
Thumb Opposition,4finNonspread,(fingers rounded),S176,S176,񂱑,o,S176,񂱑,,0,S176,񂱑,S176,񂱑,0,S176,񂱑,S176,񂱑,S176,񂱑,S176,񂱑,S176,񂱑,S176,񂱑,S176,񂱑,round,S176,񂱑
Thumb Opposition,4finNonspread,(fingers rounded),S177,,,,,,,,,,,,,,,,,,,,,S177,񂲱,,,,,,,
Thumb Opposition,4finNonspread,(fingers flattened),S17c,,,,S17c,񂺑,,heels,,,,,,,,,,,,,,S17c,񂺑,,,,,,,
Thumb Opposition,4finNonspread,(fingers flattened),S17d,,,,S17d,񂻱,,car,S17d,񂻱,S17d,񂻱,绅,,,S17d,񂻱,S17d,񂻱,S17d,񂻱,S17d,񂻱,S17d,񂻱,S17d,񂻱,thick,S17d,񂻱
Thumb Opposition,4finNonspread,(fingers flattened),S185,S185,񃇱,flat_o,S185,񃇱,,teach,S185,񃇱,S185,񃇱,10000,S185,񃇱,S185,񃇱,S185,񃇱,S185,񃇱,S185,񃇱,S185,񃇱,S185,񃇱,flat-round,,
Thumb Opposition,4finNonspread,(fingers straight),S160,,,,,,,,,,,,,S160,񂐑,,,,,S160,񂐑,,,,,,,,S160,񂐑
Thumb Opposition,4finSpread,(fingers rounded),S153,S153,񁼱,curved_5,S153,񁼱,,rain,,,S153,񁼱,同same/together,S153,񁼱,,,S153,񁼱,S153,񁼱,,,S153,񁼱,S153,񁼱,,S153,񁼱
Thumb Opposition,4finSpread,(fingers rounded),S154,,,,,,,,,,,,,,,,,,,,,S154,񁾑,,,,,,,
Thumb Opposition,4finSpread,(fingers rounded),S155,,,,,,,,S155,񁿱,,,,,,,,,,,,,,,,,,,,
Thumb Opposition,4finSpread,(fingers flattened),S155,,,,S155,񁿱,,wolf,,,,,,,,,,,,,,S155,񁿱,S155,񁿱,,,,S155,񁿱
Thumb Opposition,4finSpread,(fingers straight),None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S187,S187,񃊱,w,S187,񃊱,,w,,,S187,񃊱,3,S187,񃊱,,,S187,񃊱,S187,񃊱,S187,񃊱,S187,񃊱,S187,񃊱,3,S187,񃊱
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S18b,,,,,,,,S18b,񃐱,S18b,񃐱,30,S18b,񃐱,,,,,,,S18b,񃐱,,,,,,S18b,񃐱
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1a4,S1a4,񃶁,7,,,,,,,,,,,,,,S1a4,񃶁,,,,,S1a4,񃶁,,,,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1a5,,,,,,,,,,,,,,,,,,,,,S1a5,񃷱,,,,,,,
Thumb Opposition,1fin_othersNonfist,"(thumb rounded,others spread)",S1ba,,,,,,,,S1ba,񄗁,,,,,,,,S1ba,񄗁,,,,,,,,,,,
