canonical_gloss,synonyms,sid,FSW
birthday,theme: cards,428,M537x591S15d41514x564S15d49463x563S15d07509x523S15d0f469x522S36d00479x587S33e00485x482S22a00514x547S22a10474x545
birthday,,764,M521x520S36d00479x480S11511480x493S20600456x490
biscuit,,162,M517x517S15336483x502S20600495x482
biscuit,,805,M521x530S37602479x473S36d00479x470S15316468x515S20600453x500
black,Theme:COLOURS,231,M552x531S36d00479x481S11e02453x499S11e00529x470S22b07494x493S20500448x520
Nose bleed,bloody nose,512,M528x559S33100482x483S14402497x505S22b04493x529S22b04508x529
clothes,Blouse,458,M538x556S36d00479x444S20500513x468S20500486x468S20500487x544S20500510x545S18010508x484S18018471x484S18014470x522S1801c505x522S2fb00496x499S22a04504x512S22a14487x512
Blow drying hair,drying hair,525,M557x540S33500476x483S1dc01525x492S27100517x525
blue,,160,M514x526S14c00485x473S10b10498x497
blue,Theme:COLOURS,232,M530x522S15a37470x479S10041478x492S21100497x483S27101503x488
colour Blue,blue,361,M530x529S10021500x508S27111469x472S15a07496x483S21100483x507
blue,,637,M531x529S10021501x508S27111470x472S15a07497x483S21100484x507
Boat,,628,M540x526S15a40461x494S15a10474x481S20500464x483S15a49492x502S15a41517x503S20500511x492S22f20505x475
boat sailing forward,,488,M519x533S15c19481x503S15c11499x503S2c120483x468S20500495x522
born,theme: cards,430,M545x537S36d00479x463S36d00479x531S15d41522x514S15d49458x513S26501514x499S26517479x499
boy,"Theme: family details, son, theme: cards",274,M545x532S10012515x513S30004482x482S20e00508x519S26502489x518
Braid hair,"Plait hair, platts",524,M549x572S1ea07524x496S1ea08503x516S2ff00482x483S2fd04526x528S2df0a527x540S2df1e502x548
branch,,76,M539x532S28a07509x500S16d20480x512S14c18460x467
bread,"slice, theme: contact symbols",397,M529x531S15d39487x502S15d41506x508S27101470x469S21100490x488
Saw wood,"Bread, cut bread",572,M529x525S1470a507x511S14711508x490S27101471x475S21100492x495
break,,26,M552x516S20350482x485S20350504x485S20340537x485S20348447x485S26506514x502S26512469x502
breakfast,"eat, food",554,M519x545S33b00482x483S18508478x521S26a04492x531
Hobbies,"Breast stroke, swimming, Swim",449,M546x548S15d59473x525S15d51509x525S22100459x513S22100474x513S22100517x514S22100533x514S2d610457x491S2d610455x469S2d608515x489S2d608517x467S2fb00490x452
Breathing mask,Oxygen,190,M518x524S2ff00482x483S15001486x497S20500476x513
Brighton,,840,M531x524S36d00479x476S14c02499x486S22f04506x510
bring,,74,M534x524S15352467x494S1535a509x494S2fb04492x518S28922469x476
Bristol,,767,M520x528S17618484x473S17610500x473S15a39480x495S10051490x507
British,,12,M535x525S14c50509x474S14c58465x474S22f14464x511S22f04510x510
British Sign Language Alphabet,,733,
bronze,Theme:COLOURS,233,M558x547S17610502x493S17618486x493S20500497x482S14c10535x453S14c40443x516S22a07521x477S22a13472x510
brother,"Theme: family, Theme: sheet Maureen",257,M548x517S1f740502x502S1f748479x502S21100494x483S23600509x482S23614453x482
brother,,310,M548x518S1f740500x503S1f748479x503S20e00494x485S23600509x483S23614452x482
brown,Theme:COLOURS,234,M521x526S14c01460x499S36d00479x475S21100478x487
Hair brush,Brush hair,522,M551x518S1ea11522x469S2ff00482x483S26a04524x496
budgie,theme:ANIMAL,200,M529x544S1f420500x529S22214488x520S22204510x520S30005482x482
building,build,238,M545x531S2fd04488x525S20b00481x469S23604506x497S23618455x503S18018470x484S18010498x475
crash,"bump into, hit",354,M536x513S15d48464x486S20302486x494S20b00506x495S26502521x494
bus,,151,M547x517S2ff00482x482S11010532x467S22a04534x491
Flowers growing,bushes,552,M539x559S18506514x535S18506491x534S18506466x534S14c00516x482S14c00488x483S14c00461x481S22a00522x441S22a00491x450S22a00461x458S37a06473x523S20316521x517
butterfly,theme:ANIMAL,201,M534x521S15d01482x497S15d09497x498S20700492x479S22213519x485S22215466x483
Butterfly,,436,M534x527S15d01477x482S15d09499x482S3770b480x500S37703495x500S20800495x473S37703500x505S22114466x473S22114508x473
Butterfly,Butterfly landing,437,M531x534S15d01469x478S15d09504x477S37600486x497S20800492x467S22b24515x504
bye,Theme: greetings and introductions,271,M563x562S14c20516x520S27206544x522S33e00482x482
C,,127,AS1ec10M511x509S1ec10488x490
C,,674,M533x557S34800497x483S16d10506x537S36100468x483
C,,675,M509x510S16d10492x490
C,,833,M513x510S1ed10487x491
name,"called, Theme: greetings and introductions",265,M560x517S30007482x482S11501516x488S11520545x443S26507525x465S20500512x474
camel,theme:ANIMAL,202,M544x515S17148455x495S17140526x494S2940a478x486
camera,,655,M542x518S2ff00482x483S10a10523x487S21600534x476S21600522x476S1ed18451x493
Classifier Can,can,366,M523x537S16d30505x517S2ff00482x482S20500495x496S20500494x517S26614467x504
can,,639,M523x538S16d30505x518S2ff00482x483S20500495x497S20500494x518S26614467x505
cannot,can't,852,M561x539S30146482x476S10011521x509S2ef00543x489S26600524x483S2fb04537x515S10040524x450S33210495x501
can-,,126,
can-'t,,128,M520x551S10020505x448S10030505x521S29704479x481
Dining Room,Canteen,547,M541x597S2b700518x528S18500500x511S20500493x520S15a40516x555S15a48475x556S22104529x556S22104461x560S18048481x582S18040489x545S33b00482x483
CAP Hu,,195,M518x517S2ff00482x482S20500491x463S20500478x463S15a19463x473
transport,"car, drive",468,M533x530S20301512x470S20307467x470S23109509x497S23115469x497S2fb04492x524
card reader,,470,M520x528S15a18481x474S1e611491x473S22b04503x498
Cardiff,,804,M523x531S1ed10489x470S11559478x506S11551496x506S20600489x495
career,"job, plumber",553,M539x527S10049462x497S10e41489x491S2c500499x474
Careers. Occupations,Nurse,419,M537x523S2330a461x493S36d00479x478S10002492x492S37605480x482S20e00478x486
